,year,bhopal,indore,mumbai,delhi,cochin
96,1997,3.9410195,3.1868052,7.2153187,1.5979546,9.235722
97,1998,3.4788923,2.557834,6.53208,1.893717,9.359126
98,1999,5.313024,2.697598,5.606826,1.1846046,8.588967
99,2000,2.2924879,1.7312282,6.720777,1.5672982,6.643828
100,2001,2.9175632,3.9579265,6.988383,1.5664276,9.496462
101,2002,2.6445608,1.8690974,5.4490976,1.5363481,7.8550906
102,2003,3.1835504,3.232997,8.262901,3.0361922,6.4843516
103,2004,2.718283,2.3283134,7.6933155,1.7115053,8.617227
104,2005,2.4319046,1.7915698,7.611154,1.3832363,9.061463
105,2006,3.8064115,2.7841525,10.475542,1.0560043,12.033875
106,2007,2.0315433,1.2532755,8.339898,0.8384652,10.725624
107,2008,2.4170606,1.860387,8.141893,0.5125885,7.9876866
108,2009,3.3858676,2.994814,5.900624,0.84647703,7.8825145
109,2010,2.073952,2.4727297,9.169642,1.5279555,10.471744
110,2011,3.4938607,3.0277257,9.906822,1.6153231,6.8385625
111,2012,3.242666,2.8333416,6.4503245,1.2404964,4.8452897
112,2013,3.6653152,4.3112383,9.482393,1.836955,9.611488
113,2014,2.54413,2.313974,7.662781,1.0956091,9.539452
114,2015,2.7317405,3.3658183,5.536348,1.7060181,7.749085
115,2016,4.2311125,2.2776709,8.206916,1.3917583,6.013212
116,2017,2.4637096,2.0884027,9.65405,1.2095457,7.7226615
117,2018,2.4167347,2.236919,8.053482,1.0526265,6.437864
118,2019,4.94605,3.932972,12.901561,1.144845,9.154719
119,2020,3.9072506,3.1560457,9.5827055,1.4411077,8.286838
120,2021,2.9999127,2.6438582,10.786095,1.814092,10.708491
